title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    The Counterfeiters  ,2007,R,99," Crime, Drama, History            ",7.6,78,    Stefan Ruzowitzky  ,      Karl Markovics,   August Diehl,   Devid Striesow,   Martin Bram ach  ,43393,5480000
    Jodhaa Ak ar  ,2008,Not Rated,213," Action, Drama, History            ",7.6,69,    Ashutosh Gowariker  ,      Hrithik Roshan,   Aishwarya Rai Bachchan,   Sonu Sood,   Poonam Sinha  ,30094,3440000
    Sophie Scholl: The Final Days  ,2005,Not Rated,120," Biography, Crime, Drama            ",7.6,76,    Marc Rothemund  ,      Julia Jentsch,   Fa ian Hinrichs,   Alexander Held,   Johanna Gastdorf  ,26574,680000
    A Very Long Engagement  ,2004,R,133," Drama, Mystery, Romance            ",7.6,76,    Jean-Pierre Jeunet  ,      Audrey Tautou,   Gaspard Ulliel,   Jodie Foster,   Dominique Pinon  ,71128,6170000
    Enemy at the Gates  ,2001,R,131," Drama, History, War            ",7.6,0,    Jean-Jacques Annaud  ,      Jude Law,   Ed Harris,   Joseph Fiennes,   Rachel Weisz  ,245069,51400000
    Son of Saul  ,2015,R,107," Drama, War            ",7.5,91,    Lszl Nemes  ,      Gza Rhrig,   Levente Molnr,   Urs Rechn,   Todd Charmont  ,45480,1780000
    Lone Survivor  ,2013,R,121," Action, Biography, Drama            ",7.5,0,    Peter Berg  ,      Mark Wahl erg,   Taylor Kitsch,   Emile Hirsch,   Ben Foster  ,267906,125100000
    The Hurt Locker  ,2008,R,131," Drama, Thriller, War            ",7.5,95,    Kathryn Bigelow  ,      Jeremy Renner,   Anthony Mackie,   Brian Geraghty,   Guy Pearce  ,423973,17020000
"    Lust, Caution  ",2007,NC-17,157," Drama, History, Romance            ",7.5,61,    Ang Lee  ,      Tony Chiu-Wai Leung,   Tang Wei,   Joan Chen,   Leehom Wang  ,37641,4600000
    The Wind that Shakes the Barley  ,2006,Not Rated,127," Drama, War            ",7.5,82,    Ken Loach  ,      Cillian Murphy,   Pdraic Delaney,   Liam Cunningham,   Orla Fitzgerald  ,47004,1830000
    Green Street Hooligans  ,2005,R,109," Crime, Drama, Sport            ",7.5,0,    Lexi Alexander  ,      Elijah Wood,   Charlie Hunnam,   Claire Forlani,   Marc Warren  ,142484,340000
    Malena  ,2000,R,108," Comedy, Drama, Romance            ",7.5,0,    Giuseppe Tornatore  ,      Monica Bellucci,   Giuseppe Sulfaro,   Luciano Federico,   Matilde Piana  ,91335,3430000
    Darkest Hour  ,2017,PG-13,125," Biography, Drama, History            ",7.4,75,    Joe Wright  ,      Gary Oldman,   Lily James,   Kristin Scott Thomas,   Ben Mendelsohn  ,174215,56470000
    Mud ound  ,2017,R,134," Drama, War            ",7.4,85,    Dee Rees  ,      Jason Mitchell,   Carey Mulligan,   Jason Clarke,   Mary J. Blige  ,43360,0
    Zero Dark Thirty  ,2012,R,157," Drama, History, Thriller            ",7.4,95,    Kathryn Bigelow  ,      Jessica Chastain,   Joel Edgerton,   Chris Pratt,   Mark Strong  ,274082,95720000
    The Guernsey Literary and Potato Peel Pie Society  ,2018,TV-14,124," Drama, Romance, War            ",7.4,65,    Mike Newell  ,      Jessica Brown Findlay,   Tom Courtenay,   Michiel Huisman,   Katherine Parkinson  ,36450,0
    Wonder Woman  ,2017,PG-13,141," Action, Adventure, Fantasy            ",7.4,76,    Patty Jenkins  ,      Gal Gadot,   Chris Pine,   Ro in Wright,   Lucy Davis  ,574711,412560000
    Red Cliff  ,2008,R,148," Action, Adventure, Drama            ",7.4,73,    John Woo  ,      Tony Chiu-Wai Leung,   Takeshi Kaneshiro,   Fengyi Zhang,   Chen Chang  ,43904,630000
    Master and Commander: The Far Side of the World  ,2003,PG-13,138," Action, Adventure, Drama            ",7.4,81,    Peter Weir  ,         Russell Crowe,     Paul Bettany,     Billy Boyd,  James D    Arcy ,204095,93930000
    Official Secrets  ,2019,R,112," Biography, Crime, Drama            ",7.3,63,    Gavin Hood  ,      Keira Knightley,   Matt Smith,   Matthew Goode,   Rhys Ifans  ,35286,400000
    13 Hours  ,2016,R,144," Action, Drama, History            ",7.3,0,    Michael Bay  ,      John Krasinski,   Pa lo Schrei er,   James Badge Dale,   David Denman  ,120916,52850000
    American Sniper  ,2014,R,133," Action, Biography, Drama            ",7.3,72,    Clint Eastwood  ,      Bradley Cooper,   Sienna Miller,   Kyle Gallner,   Cole Konis  ,442611,350130000
    Eye in the Sky  ,2015,R,102," Action, Drama, Thriller            ",7.3,73,    Gavin Hood  ,      Helen Mirren,   Aaron Paul,   Alan Rickman,   Barkhad A di  ,79994,18700000
    Testament of Youth  ,2014,PG-13,129," Biography, Drama, History            ",7.3,76,    James Kent  ,      Alicia Vikander,   Kit Harington,   Taron Egerton,   Dominic West  ,26838,1820000
    Max Manus: Man of War  ,2008,Not Rated,118," Action, Biography, Drama            ",7.3,0,    Joachim Rnning   ,       Aksel Hennie,   Agnes Kittelsen,   Nicolai Cleve Broch,   Ken Duken    ,26692,0
    Rescue Dawn  ,2006,PG-13,120," Action, Biography, Drama            ",7.3,77,    Werner Herzog  ,      Christian Bale,   Steve Zahn,   Jeremy Davies,   Zach Grenier  ,101518,5490000
    Lincoln  ,2012,PG-13,150," Biography, Drama, History            ",7.3,86,    Steven Spiel erg  ,      Daniel Day-Lewis,   Sally Field,   David Strathairn,   Joseph Gordon-Levitt  ,246276,182210000
    The King  ,2019,R,140," Biography, Drama, History            ",7.2,62,    David Michd  ,      Tom Glynn-Carney,   G or Czap,   Tom Fisher,   Edward Ashley  ,91420,0
    Anthropoid  ,2016,R,120," Action, Biography, Drama            ",7.2,0,    Sean Ellis  ,      Jamie Dornan,   Cillian Murphy,   Brian Caspe,   Karel Hermnek Jr.  ,44330,2960000
    The Siege of Jadotville  ,2016,TV-MA,108," Action, Drama, History            ",7.2,0,    Richie Smyth  ,      Richard Lukunku,   Danny Sapani,   Andrew Stock,   Mark Strong  ,32943,0
    Bajirao Mastani  ,2015,Not Rated,158," Action, Drama, History            ",7.2,0,    Sanjay Leela Bhansali  ,      Ranveer Singh,   Deepika Padukone,   Priyanka Chopra,   Tanvi Azmi  ,31534,6560000
    ' 71  ,2014,R,99," Action, Crime, Drama            ",7.2,83,    Yann Demange  ,      Jack O    Connell,     Sam Reid,     Sean Harris,     Paul Popplewell    ,51605,1270000
    Un roken  ,2014,PG-13,137," Action, Biography, Drama            ",7.2,0,    Angelina Jolie  ,      Jack O    Connell,     Miyavi,     Domhnall Gleeson,     Garrett Hedlund    ,150918,115640000
    War Horse  ,2011,PG-13,146," Action, Adventure, Drama            ",7.2,72,    Steven Spiel erg  ,      Jeremy Irvine,   Emily Watson,   David Thewlis,   Benedict Cum er atch  ,147915,79880000
    Defiance  ,2008,R,137," Action, Drama, History            ",7.2,0,    Edward Zwick  ,      Daniel Craig,   Liev Schrei er,   Jamie Bell,   Alexa Davalos  ,138906,28640000
    Che: Part One  ,2008,Not Rated,134," Biography, Drama, History            ",7.2,0,    Steven Soder ergh  ,      Julia Ormond,   Benicio Del Toro,   Oscar Isaac,   Pa lo Guevara  ,44409,1730000
    Mongol: The Rise of Genghis Khan  ,2007,R,126," Action, Biography, Drama            ",7.2,74,    Sergei Bodrov  ,      Tadano u Asano,   Amadu Mamadakov,   Khulan Chuluun,   Honglei Sun  ,44812,5700000
    Kingdom of Heaven  ,2005,R,144," Action, Adventure, Drama            ",7.2,63,    Ridley Scott  ,      Orlando Bloom,   Eva Green,   Liam Neeson,   Martin Hancock  ,268362,47400000
    We Were Soldiers  ,2002,R,138," Action, Drama, History            ",7.2,65,    Randall Wallace  ,      Mel Gi son,   Madeleine Stowe,   Greg Kinnear,   Sam Elliott  ,131009,78120000
    The Patriot  ,2000,R,165," Action, Drama, History            ",7.2,63,    Roland Emmerich  ,      Mel Gi son,   Heath Ledger,   Joely Richardson,   Jason Isaacs  ,255854,113330000
    Cold Mountain  ,2003,R,154," Adventure, Drama, History            ",7.2,73,    Anthony Minghella  ,      Jude Law,   Nicole Kidman,   Rene Zellweger,   Eileen Atkins  ,140530,95640000
    Allied  ,2016,R,124," Action, Drama, Romance            ",7.1,0,    Ro ert Zemeckis  ,      Brad Pitt,   Marion Cotillard,   Jared Harris,   Vincent E rahim  ,142870,40100000
    The Railway Man  ,2013,R,116," Biography, Drama, Romance            ",7.1,0,    Jonathan Teplitzky  ,      Colin Firth,   Nicole Kidman,   Stellan Skarsgrd,   Jeremy Irvine  ,37624,4440000
