title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Mission: Impossi le III  ,2006,PG-13,126," Action, Adventure, Thriller            ",6.9,66,    J.J. A rams  ,      Tom Cruise,   Michelle Monaghan,   Ving Rhames,   Philip Seymour Hoffman  ,332169,134030000
    Vanilla Sky  ,2001,R,136," Fantasy, Mystery, Romance            ",6.9,0,    Cameron Crowe  ,      Tom Cruise,   Penlope Cruz,   Cameron Diaz,   Kurt Russell  ,249971,100610000
    The Crimson Rivers  ,2000,R,106," Crime, Horror, Mystery            ",6.9,0,    Mathieu Kassovitz  ,      Jean Reno,   Vincent Cassel,   Nadia Fars,   Dominique Sanda  ,58217,630000
    Ready or Not  ,2019,R,95," Action, Comedy, Horror            ",6.8,64,    Matt Bettinelli-Olpin   ,          Samara Weaving,     Adam Brody,  Mark O    Brien,     Henry Czerny       ,112657,26740000
22-Jul,2018,R,143," Crime, Drama, History            ",6.8,69,    Paul Greengrass  ,      Anders Danielsen Lie,   Jonas Strand Gravli,   Jon igarden,   Maria Bock  ,28939,0
    A Simple Favor  ,2018,R,117," Comedy, Crime, Mystery            ",6.8,67,    Paul Feig  ,      Anna Kendrick,   Blake Lively,   Henry Golding,   Andrew Rannells  ,131094,53550000
    Us  ,2019,R,116," Horror, Mystery, Thriller            ",6.8,81,    Jordan Peele  ,      Lupita Nyong    o,     Winston Duke,     Elisa eth Moss,     Tim Heidecker    ,232926,175080000
    I See You  ,2019,R,98," Crime, Drama, Horror            ",6.8,65,    Adam Randall  ,      Helen Hunt,   Jon Tenney,   Owen Teague,   Judah Lewis  ,31683,0
    All the Money in the World  ,2017,R,132," Biography, Crime, Drama            ",6.8,72,    Ridley Scott  ,      Michelle Williams,   Christopher Plummer,   Mark Wahl erg,   Romain Duris  ,76242,25110000
    Ocean' s Eight  ,2018,PG-13,110," Action, Comedy, Crime            ",6.8,61,    Gary Ross  ,      Sandra Bullock,   Cate Blanchett,   Anne Hathaway,   Mindy Kaling  ,190208,140220000
    The House That Jack Built  ,2018,R,152," Crime, Drama, Horror            ",6.8,0,    Lars von Trier  ,      Matt Dillon,   Bruno Ganz,   Uma Thurman,   Sio han Fallon Hogan  ,60471,90000
    The Autopsy of Jane Doe  ,2016,R,86," Horror, Mystery, Thriller            ",6.8,65,    Andr vredal  ,      Brian Cox,   Emile Hirsch,   Ophelia Lovi ond,   Michael McElhatton  ,100547,0
    It Follows  ,2014,R,100," Horror, Mystery, Thriller            ",6.8,83,    David Ro ert Mitchell  ,      Maika Monroe,   Keir Gilchrist,   Olivia Luccardi,   Lili Sepe  ,212188,14670000
    Annihilation  ,2018,R,115," Adventure, Drama, Horror            ",6.8,79,    Alex Garland  ,      Natalie Portman,   Jennifer Jason Leigh,   Tessa Thompson,   Benedict Wong  ,283634,32730000
    Veronica Mars  ,2014,PG-13,107," Crime, Drama, Mystery            ",6.8,62,    Ro  Thomas  ,      Kristen Bell,   Jason Dohring,   Enrico Colantoni,   Chris Lowell  ,50524,3320000
    Spectre  ,2015,PG-13,148," Action, Adventure, Thriller            ",6.8,0,    Sam Mendes  ,      Daniel Craig,   Christoph Waltz,   La Seydoux,   Ralph Fiennes  ,386891,200070000
    The Ba adook  ,2014,Not Rated,94," Drama, Horror, Mystery            ",6.8,86,    Jennifer Kent  ,      Essie Davis,   Noah Wiseman,   Daniel Henshall,   Hayley McElhinney  ,198610,920000
    The Finest Hours  ,2016,PG-13,117," Action, Drama, History            ",6.8,0,    Craig Gillespie  ,      Chris Pine,   Casey Affleck,   Ben Foster,   Eric Bana  ,62405,27550000
    A Most Wanted Man  ,2014,R,122," Crime, Drama, Thriller            ",6.8,73,    Anton Cor ijn  ,      Philip Seymour Hoffman,   Rachel McAdams,   Daniel Brhl,   Ro in Wright  ,72774,17240000
    Sinister  ,2012,R,110," Horror, Mystery, Thriller            ",6.8,0,    Scott Derrickson  ,      Ethan Hawke,   Juliet Rylance,   James Ransone,   Fred Thompson  ,223423,48090000
    The East  ,2013,PG-13,116," Crime, Drama, Thriller            ",6.8,68,    Zal Batmanglij  ,      Brit Marling,   Alexander Skarsgrd,   Elliot Page,   To y Ke  ell  ,48678,2270000
    Chappie  ,2015,R,120," Action, Crime, Drama            ",6.8,0,    Neill Blomkamp  ,      Sharlto Copley,   Dev Patel,   Hugh Jackman,   Sigourney Weaver  ,230825,31570000
    The Maze Runner  ,2014,PG-13,113," Action, Mystery, Sci-Fi            ",6.8,0,    Wes Ball  ,      Dylan O    Brien,     Kaya Scodelario,     Will Poulter,     Thomas Brodie-Sangster    ,421194,102430000
    No Escape  ,2015,R,103," Action, Thriller            ",6.8,0,    John Erick Dowdle  ,      Lake Bell,   Pierce Brosnan,   Owen Wilson,   Thanawut Ketsaro  ,79366,27290000
    Stonehearst Asylum  ,2014,PG-13,112," Drama, Horror, Thriller            ",6.8,0,    Brad Anderson  ,      Kate Beckinsale,   Jim Sturgess,   David Thewlis,   Brendan Gleeson  ,52158,0
    Odd Thomas  ,2013,PG-13,97," Comedy, Fantasy, Horror            ",6.8,0,    Stephen Sommers  ,      Anton Yelchin,   Ashley Sommers,   Leonor Varela,   Matthew Page  ,48217,0
    Stoker  ,2013,R,99," Drama, Mystery, Thriller            ",6.8,0,    Chan-wook Park  ,      Mia Wasikowska,   Nicole Kidman,   Matthew Goode,   Dermot Mulroney  ,103304,1700000
    The Grey  ,2011,R,117," Action, Adventure, Drama            ",6.8,64,    Joe Carnahan  ,      Liam Neeson,   Dermot Mulroney,   Frank Grillo,   Dallas Ro erts  ,241553,51580000
    Insidious  ,2010,PG-13,103," Horror, Mystery, Thriller            ",6.8,0,    James Wan  ,      Patrick Wilson,   Rose Byrne,   Ty Simpkins,   Lin Shaye  ,280381,54010000
    The Iceman  ,2012,R,106," Biography, Crime, Drama            ",6.8,0,    Ariel Vromen  ,      Michael Shannon,   Chris Evans,   James Franco,   Winona Ryder  ,70945,1940000
    Unknown  ,2011,PG-13,113," Action, Mystery, Thriller            ",6.8,0,    Jaume Collet-Serra  ,      Liam Neeson,   Diane Kruger,   January Jones,   Aidan Quinn  ,250478,63690000
    The Perfect Host  ,2010,R,93," Comedy, Crime, Thriller            ",6.8,0,    Nick Tomnay  ,      David Hyde Pierce,   Clayne Crawford,   Nathaniel Parker,   Tyrees Allen  ,25150,50000
    Exam  ,2009,Not Rated,101," Mystery, Thriller            ",6.8,0,    Stuart Hazeldine  ,      Adar Beck,   Gemma Chan,   Nathalie Cox,   John Lloyd Fillingham  ,106346,0
    The De t  ,2010,R,113," Drama, Thriller            ",6.8,65,    John Madden  ,      Helen Mirren,   Sam Worthington,   Tom Wilkinson,   Ciarn Hinds  ,65305,31180000
    Out of the Furnace  ,2013,R,116," Action, Crime, Drama            ",6.8,63,    Scott Cooper  ,      Christian Bale,   Casey Affleck,   Zoe Saldana,   Woody Harrelson  ,107784,11330000
    Cold in July  ,2014,R,109," Crime, Thriller            ",6.8,73,    Jim Mickle  ,      Michael C. Hall,   Sam Shepard,   Don Johnson,   Vinessa Shaw  ,34251,410000
    Suspiria  ,2018,R,152," Fantasy, Horror, Mystery            ",6.8,64,    Luca Guadagnino  ,      Chlo Grace Moretz,   Tilda Swinton,   Doris Hick,   Malgorzata Bela  ,63146,2470000
    Eden Lake  ,2008,R,91," Horror, Thriller            ",6.8,65,    James Watkins  ,         Kelly Reilly,     Michael Fass ender,     Tara Ellis,  Jack O    Connell ,77427,10000
    Hanna  ,2011,PG-13,111," Action, Adventure, Drama            ",6.8,65,    Joe Wright  ,      Saoirse Ronan,   Cate Blanchett,   Eric Bana,   Vicky Krieps  ,190964,40260000
    Fair Game  ,2010,PG-13,108," Biography, Drama, Thriller            ",6.8,69,    Doug Liman  ,      Naomi Watts,   Sean Penn,   Sonya Davison,   Vanessa Chong  ,47006,9530000
    Green Zone  ,2010,R,115," Action, Drama, Thriller            ",6.8,63,    Paul Greengrass  ,      Matt Damon,   Jason Isaacs,   Greg Kinnear,   Igal Naor  ,130135,35050000
    Rendition  ,2007,R,122," Drama, Thriller            ",6.8,0,    Gavin Hood  ,      Reese Witherspoon,   Jake Gyllenhaal,   Peter Sarsgaard,   Alan Arkin  ,54290,9740000
    Death Sentence  ,2007,R,105," Action, Crime, Drama            ",6.8,0,    James Wan  ,      Kevin Bacon,   John Goodman,   Kelly Preston,   Garrett Hedlund  ,69204,9530000
    We Own the Night  ,2007,R,117," Action, Crime, Drama            ",6.8,0,    James Gray  ,      Joaquin Phoenix,   Mark Wahl erg,   Eva Mendes,   Danny Hoch  ,85354,28560000
    Big Nothing  ,2006,R,86," Comedy, Crime, Thriller            ",6.8,0,    Jean-Baptiste Andrea  ,      David Schwimmer,   Simon Pegg,   Alice Eve,   Jon Polito  ,29566,0
    Distur ia  ,2007,PG-13,105," Crime, Drama, Mystery            ",6.8,62,    D.J. Caruso  ,      Shia LaBeouf,   David Morse,   Carrie-Anne Moss,   Sarah Roemer  ,222156,80210000
    The Air I Breathe  ,2007,R,95," Crime, Drama, Thriller            ",6.8,0,    Jieho Lee  ,      Brendan Fraser,   Sarah Michelle Gellar,   Andy Garcia,   Kevin Bacon  ,33456,30000
21,2008,PG-13,123," Crime, Drama, History            ",6.8,0,    Ro ert Luketic  ,      Jim Sturgess,   Kate Bosworth,   Kevin Spacey,   Aaron Yoo  ,230886,81160000
    Unstoppa le  ,2010,PG-13,98," Action, Thriller            ",6.8,69,    Tony Scott  ,      Denzel Washington,   Chris Pine,   Rosario Dawson,   Ethan Suplee  ,185887,81560000
    Four Brothers  ,2005,R,109," Action, Crime, Drama            ",6.8,0,    John Singleton  ,      Mark Wahl erg,   Tyrese Gi son,   Andr 3000,   Garrett Hedlund  ,135492,74490000
    Street Kings  ,2008,R,109," Action, Crime, Drama            ",6.8,0,    David Ayer  ,      Keanu Reeves,   Forest Whitaker,   Hugh Laurie,   Chris Evans  ,107581,26420000
