title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    How to Train Your Dragon  ,2010,PG,98," Animation, Action, Adventure            ",8.1,75,    Dean DeBlois   ,       Jay Baruchel,   Gerard Butler,   Christopher Mintz-Plasse,   Craig Ferguson    ,671491,217580000
    Finding Nemo  ,2003,G,100," Animation, Adventure, Comedy            ",8.1,90,    Andrew Stanton   ,       Al ert Brooks,   Ellen DeGeneres,   Alexander Gould,   Willem Dafoe    ,955699,380840000
"    Monsters, Inc.  ",2001,G,92," Animation, Adventure, Comedy            ",8.1,79,    Pete Docter   ,    Billy Crystal,   John Goodman,   Mary Gi  s,     ,821554,289920000
    Togo  ,2019,PG,113," Adventure, Biography, Drama            ",8.0,69,    Ericson Core  ,      Willem Dafoe,   Julianne Nicholson,   Christopher Heyerdahl,   Richard Dormer  ,38941,0
    Zootopia  ,2016,PG,108," Animation, Adventure, Comedy            ",8.0,78,    Byron Howard   ,    Ginnifer Goodwin,   Jason Bateman,   Idris El a,     ,437996,341270000
    The Tale of The Princess Kaguya  ,2013,PG,137," Animation, Adventure, Drama            ",8.0,89,    Isao Takahata  ,      Chlo Grace Moretz,   James Caan,   Mary Steen urgen,   James Marsden  ,39465,1510000
    Wonder  ,2017,PG,113," Drama, Family            ",8.0,66,    Stephen Ch osky  ,      Jaco  Trem lay,   Owen Wilson,   Iza ela Vidovic,   Julia Ro erts  ,144376,132420000
    Ratatouille  ,2007,G,111," Animation, Adventure, Comedy            ",8.0,96,    Brad Bird   ,       Brad Garrett,   Lou Romano,   Patton Oswalt,   Ian Holm    ,646831,206450000
    The Incredi les  ,2004,PG,115," Animation, Action, Adventure            ",8.0,90,    Brad Bird  ,      Craig T. Nelson,   Samuel L. Jackson,   Holly Hunter,   Jason Lee  ,661100,261440000
    Fantastic Mr. Fox  ,2009,PG,87," Animation, Adventure, Comedy            ",7.9,83,    Wes Anderson  ,      George Clooney,   Meryl Streep,   Bill Murray,   Jason Schwartzman  ,202334,21000000
    Harry Potter and the Prisoner of Azka an  ,2004,PG,142," Adventure, Family, Fantasy            ",7.9,82,    Alfonso Cuarn  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Richard Griffiths  ,557184,249360000
    Paddington 2  ,2017,PG,103," Animation, Adventure, Comedy            ",7.8,88,    Paul King  ,      Ben Whishaw,   Hugh Grant,   Hugh Bonneville,   Sally Hawkins  ,62544,40440000
    Ku o and the Two Strings  ,2016,PG,101," Animation, Action, Adventure            ",7.8,84,    Travis Knight  ,      Charlize Theron,   Art Parkinson,   Matthew McConaughey,   Ralph Fiennes  ,118878,48020000
