title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Lost in Translation  ,2003,R,102," Comedy, Drama            ",7.7,89,    Sofia Coppola  ,      Bill Murray,   Scarlett Johansson,   Giovanni Ri isi,   Anna Faris  ,418416,44590000
    Good Bye Lenin!  ,2003,R,121," Comedy, Drama, Romance            ",7.7,68,    Wolfgang Becker  ,      Daniel Brhl,   Katrin Sa,   Chulpan Khamatova,   Florian Lukas  ,138606,4060000
    Adaptation.  ,2002,R,115," Comedy, Drama            ",7.7,83,    Spike Jonze  ,      Nicolas Cage,   Meryl Streep,   Chris Cooper,   Tilda Swinton  ,179622,22250000
    Hedwig and the Angry Inch  ,2001,R,95," Comedy, Drama, Music            ",7.7,85,    John Cameron Mitchell  ,      John Cameron Mitchell,   Miriam Shor,   Stephen Trask,   Theodore Liscinski  ,32093,3030000
"    O Brother, Where Art Thou?  ",2000,PG-13,107," Adventure, Comedy, Crime            ",7.7,69,    Joel Coen   ,       George Clooney,   John Turturro,   Tim Blake Nelson,   John Goodman    ,289375,45510000
    Interstate 60: Episodes of the Road  ,2002,R,116," Adventure, Comedy, Drama            ",7.7,0,    Bo  Gale  ,      James Marsden,   Gary Oldman,   Kurt Russell,   Matthew Edison  ,30148,0
    The Farewell  ,2019,PG,100," Comedy, Drama            ",7.6,89,    Lulu Wang  ,      Shuzhen Zhao,   Awkwafina,   X Mayo,   Hong Lu  ,52249,16880000
    The Two Popes  ,2019,PG-13,125," Biography, Comedy, Drama            ",7.6,75,    Fernando Meirelles  ,      Anthony Hopkins,   Jonathan Pryce,   Juan Minujn,   Luis Gnecco  ,108871,0
    Stree  ,2018,Not Rated,128," Comedy, Horror            ",7.6,0,    Amar Kaushik  ,      Rajkummar Rao,   Shraddha Kapoor,   Pankaj Tripathi,   Aparshakti Khurana  ,28488,0
    Ludo  ,2020,TV-MA,150," Action, Comedy, Crime            ",7.6,0,    Anurag Basu  ,      Pankaj Tripathi,   A hishek Bachchan,   Rajkummar Rao,   Fatima Sana Shaikh  ,29015,0
    Once Upon a Time... In Hollywood  ,2019,R,161," Comedy, Drama            ",7.6,83,    Quentin Tarantino  ,      Leonardo DiCaprio,   Brad Pitt,   Margot Ro  ie,   Emile Hirsch  ,564077,142500000
"    Love, Simon  ",2018,PG-13,110," Comedy, Drama, Romance            ",7.6,72,    Greg Berlanti  ,      Nick Ro inson,   Jennifer Garner,   Josh Duhamel,   Katherine Langford  ,99706,40830000
    The Peanut Butter Falcon  ,2019,PG-13,97," Adventure, Comedy, Drama            ",7.6,70,    Tyler Nilson   ,       Zack Gottsagen,   Ann Owens,   Dakota Johnson,   Bruce Dern    ,69207,13120000
    Guardians of the Galaxy Vol. 2  ,2017,PG-13,136," Action, Adventure, Comedy            ",7.6,67,    James Gunn  ,      Chris Pratt,   Zoe Saldana,   Dave Bautista,   Vin Diesel  ,576457,389810000
    Piku  ,2015,Not Rated,123," Comedy, Drama            ",7.6,0,    Shoojit Sircar  ,      Deepika Padukone,   Amita h Bachchan,   Irrfan Khan,   Moushumi Chatterjee  ,29140,0
    Incredi les 2  ,2018,PG,118," Animation, Action, Adventure            ",7.6,80,    Brad Bird  ,      Craig T. Nelson,   Holly Hunter,   Sarah Vowell,   Huck Milner  ,253470,608580000
    Moana  ,2016,PG,107," Animation, Adventure, Comedy            ",7.6,81,    Ron Clements   ,         Chris Williams    ,   Auli    i Cravalho,     Dwayne Johnson,,276538,248760000
    Philomena  ,2013,PG-13,98," Biography, Comedy, Drama            ",7.6,77,    Stephen Frears  ,      Judi Dench,   Steve Coogan,   Sophie Kennedy Clark,   Mare Winningham  ,94569,37710000
