title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
So I Married an Axe Murderer,1993),PG-13,93," Comedy, Romance            ",6.4,0,Thomas Schlamme,"['Mike Myers, ', 'Nancy Travis, ', 'Anthony LaPaglia, ', 'Amanda Plummer', '']",33617,$11.59M
Last Action Hero,1993),PG-13,130," Action, Adventure, Comedy            ",6.4,0,John McTiernan,"['Arnold Schwarzenegger, ', 'F. Murray Abraham, ', 'Art Carney, ', 'Charles Dance', '']",137635,$50.02M
Sister Act,1992),PG,100," Comedy, Crime, Family            ",6.4,0,Emile Ardolino,"['Whoopi Goldberg, ', 'Maggie Smith, ', 'Kathy Najimy, ', 'Wendy Makkena', '']",88849,$139.61M
The People Under the Stairs,1991),R,102," Comedy, Horror, Mystery            ",6.4,0,Wes Craven,"['Brandon Quintin Adams, ', 'Everett McGill, ', 'Wendy Robie, ', 'A.J. Langer', '']",31576,$24.20M
Gremlins 2: The New Batch,1990),PG-13,106," Comedy, Fantasy, Horror            ",6.4,69        ,"Joe Dante, ","['    Stars:', 'Zach Galligan, ', 'Phoebe Cates, ', 'John Glover, ', 'Robert Prosky']",93920,$41.48M
Arachnophobia,1990),PG-13,109," Comedy, Horror, Thriller            ",6.4,67        ,Frank Marshall,"['Jeff Daniels, ', 'Julian Sands, ', 'John Goodman, ', 'Harley Jane Kozak', '']",63693,$53.21M
Weekend at Bernie's,1989),PG-13,97," Adventure, Comedy, Crime            ",6.4,0,Ted Kotcheff,"['Andrew McCarthy, ', 'Jonathan Silverman, ', 'Catherine Mary Stewart, ', 'Terry Kiser', '']",49264,$30.22M
Tango & Cash,1989),R,104," Action, Comedy, Crime            ",6.4,0,"Andrey Konchalovskiy, ","['    Stars:', 'Sylvester Stallone, ', 'Kurt Russell, ', 'Teri Hatcher, ', 'Jack Palance']",96612,$63.41M
"Honey, I Shrunk the Kids",1989),PG,93," Adventure, Comedy, Family            ",6.4,63        ,Joe Johnston,"['Rick Moranis, ', 'Matt Frewer, ', 'Marcia Strassman, ', 'Kristine Sutherland', '']",143936,$130.72M
Peggy Sue Got Married,1986),PG-13,103," Comedy, Drama, Fantasy            ",6.4,74        ,Francis Ford Coppola,"['Kathleen Turner, ', 'Nicolas Cage, ', 'Barry Miller, ', 'Catherine Hicks', '']",33334,$41.38M
The Money Pit,1986),PG,91, Comedy            ,6.4,0,Richard Benjamin,"['Tom Hanks, ', 'Shelley Long, ', 'Alexander Godunov, ', 'Maureen Stapleton', '']",52629,$37.50M
Kate & Leopold,2001),PG-13,118," Comedy, Fantasy, Romance            ",6.4,0,James Mangold,"['Meg Ryan, ', 'Hugh Jackman, ', 'Liev Schreiber, ', 'Breckin Meyer', '']",79326,$47.12M
Guns Akimbo,2019),R,98," Action, Comedy, Thriller            ",6.3,0,Jason Lei Howden,"['Daniel Radcliffe, ', 'Samara Weaving, ', 'Ned Dennehy, ', 'Natasha Liu Bordizzo', '']",39253,0
The Laundromat,I) (2019),R,95," Comedy, Crime, Drama            ",6.3,0,Steven Soderbergh,"['Gary Oldman, ', 'Antonio Banderas, ', 'AJ Meijer, ', 'Arsenio Castellanos', '']",44774,0
Hustlers,2019),R,110," Comedy, Crime, Drama            ",6.3,79        ,Lorene Scafaria,"['Constance Wu, ', 'Jennifer Lopez, ', 'Julia Stiles, ', 'Mette Towley', '']",85272,$80.55M
Hotel Transylvania 3: Summer Vacation,2018),PG,97," Animation, Adventure, Comedy            ",6.3,0,Genndy Tartakovsky,"['Adam Sandler, ', 'Andy Samberg, ', 'Selena Gomez, ', 'Kevin James', '']",58625,$167.51M
The Babysitter,I) (2017),TV-MA,85," Comedy, Horror            ",6.3,0,McG,"['Judah Lewis, ', 'Samara Weaving, ', 'Robbie Amell, ', 'Hana Mae Lee', '']",74616,0
Keanu,2016),R,100," Action, Comedy, Crime            ",6.3,63        ,Peter Atencio,"['Keegan-Michael Key, ', 'Jordan Peele, ', 'Tiffany Haddish, ', 'Method Man', '']",45857,$20.57M
The Boss Baby,2017),PG,97," Animation, Adventure, Comedy            ",6.3,0,Tom McGrath,"['Alec Baldwin, ', 'Steve Buscemi, ', 'Jimmy Kimmel, ', 'Lisa Kudrow', '']",109857,$175.00M
