title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Sophie Scholl: The Final Days,2005),Not Rated,120," Biography, Crime, Drama            ",7.6,76        ,Marc Rothemund,"['Julia Jentsch, ', 'Fabian Hinrichs, ', 'Alexander Held, ', 'Johanna Gastdorf', '']",26574,$0.68M
A Very Long Engagement,2004),R,133," Drama, Mystery, Romance            ",7.6,76        ,Jean-Pierre Jeunet,"['Audrey Tautou, ', 'Gaspard Ulliel, ', 'Jodie Foster, ', 'Dominique Pinon', '']",71128,$6.17M
Enemy at the Gates,2001),R,131," Drama, History, War            ",7.6,0,Jean-Jacques Annaud,"['Jude Law, ', 'Ed Harris, ', 'Joseph Fiennes, ', 'Rachel Weisz', '']",245069,$51.40M
The Thin Red Line,1998),R,170," Drama, War            ",7.6,78        ,Terrence Malick,"['Jim Caviezel, ', 'Sean Penn, ', 'Nick Nolte, ', 'Kirk Acevedo', '']",173914,$36.40M
Mulan,1998),G,88," Animation, Adventure, Family            ",7.6,71        ,"Tony Bancroft, ","['    Stars:', 'Ming-Na Wen, ', 'Eddie Murphy, ', 'BD Wong, ', 'Miguel Ferrer']",258902,$120.62M
Legends of the Fall,1994),R,133," Drama, Romance, War            ",7.6,0,Edward Zwick,"['Brad Pitt, ', 'Anthony Hopkins, ', 'Aidan Quinn, ', 'Julia Ormond', '']",150535,$66.64M
Gettysburg,1993),PG,271," Drama, History, War            ",7.6,0,Ron Maxwell,"['Tom Berenger, ', 'Martin Sheen, ', 'Stephen Lang, ', 'Richard Jordan', '']",26156,$10.77M
Hair,1979),PG,121," Comedy, Drama, Musical            ",7.6,68        ,Milos Forman,"['John Savage, ', 'Treat Williams, ', ""Beverly D'Angelo, "", 'Annie Golden', '']",35297,$15.28M
Duck You Sucker,1971),PG,138," Drama, War, Western            ",7.6,77        ,Sergio Leone,"['Rod Steiger, ', 'James Coburn, ', 'Romolo Valli, ', 'Maria Monti', '']",30397,$0.70M
Kelly's Heroes,1970),GP,144," Adventure, Comedy, War            ",7.6,0,Brian G. Hutton,"['Clint Eastwood, ', 'Telly Savalas, ', 'Don Rickles, ', ""Carroll O'Connor"", '']",45562,$1.38M
From Here to Eternity,1953),Passed,118," Drama, Romance, War            ",7.6,85        ,Fred Zinnemann,"['Burt Lancaster, ', 'Montgomery Clift, ', 'Deborah Kerr, ', 'Donna Reed', '']",43686,$30.50M
Lifeboat,1944),Not Rated,97," Drama, War            ",7.6,78        ,Alfred Hitchcock,"['Tallulah Bankhead, ', 'John Hodiak, ', 'Walter Slezak, ', 'William Bendix', '']",26622,0
Son of Saul,2015),R,107," Drama, War            ",7.5,91        ,László Nemes,"['Géza Röhrig, ', 'Levente Molnár, ', 'Urs Rechn, ', 'Todd Charmont', '']",45480,$1.78M
Lone Survivor,2013),R,121," Action, Biography, Drama            ",7.5,0,Peter Berg,"['Mark Wahlberg, ', 'Taylor Kitsch, ', 'Emile Hirsch, ', 'Ben Foster', '']",267906,$125.10M
The Hurt Locker,2008),R,131," Drama, Thriller, War            ",7.5,95        ,Kathryn Bigelow,"['Jeremy Renner, ', 'Anthony Mackie, ', 'Brian Geraghty, ', 'Guy Pearce', '']",423973,$17.02M
"Lust, Caution",2007),NC-17,157," Drama, History, Romance            ",7.5,61        ,Ang Lee,"['Tony Chiu-Wai Leung, ', 'Tang Wei, ', 'Joan Chen, ', 'Leehom Wang', '']",37641,$4.60M
The Wind that Shakes the Barley,2006),Not Rated,127," Drama, War            ",7.5,82        ,Ken Loach,"['Cillian Murphy, ', 'Pádraic Delaney, ', 'Liam Cunningham, ', 'Orla Fitzgerald', '']",47004,$1.83M
Green Street Hooligans,2005),R,109," Crime, Drama, Sport            ",7.5,0,Lexi Alexander,"['Elijah Wood, ', 'Charlie Hunnam, ', 'Claire Forlani, ', 'Marc Warren', '']",142484,$0.34M
Malena,2000),R,108," Comedy, Drama, Romance            ",7.5,0,Giuseppe Tornatore,"['Monica Bellucci, ', 'Giuseppe Sulfaro, ', 'Luciano Federico, ', 'Matilde Piana', '']",91335,$3.43M
Stalingrad,1993),Not Rated,134," Drama, War            ",7.5,0,Joseph Vilsmaier,"['Dominique Horwitz, ', 'Thomas Kretschmann, ', 'Jochen Nickel, ', 'Sebastian Rudolph', '']",31123,$0.08M
Henry V,1989),PG-13,137," Action, Biography, Drama            ",7.5,83        ,Kenneth Branagh,"['Kenneth Branagh, ', 'Derek Jacobi, ', 'Simon Shepherd, ', 'James Larkin', '']",28332,$10.16M
Cross of Iron,1977),R,119," Drama, War            ",7.5,0,Sam Peckinpah,"['James Coburn, ', 'Maximilian Schell, ', 'James Mason, ', 'David Warner', '']",25192,0
Tora! Tora! Tora!,1970),G,144," Action, Drama, History            ",7.5,0,"Richard Fleischer, ","['Akira Kurosawa', '| ', '    Stars:', 'Martin Balsam, ', 'Sô Yamamura, ']",31886,$29.55M
The Guns of Navarone,1961),TV-PG,158," Action, Adventure, Drama            ",7.5,0,J. Lee Thompson,"['David Niven, ', 'Gregory Peck, ', 'Anthony Quinn, ', 'Anthony Quayle', '']",45800,$28.90M
Darkest Hour,2017),PG-13,125," Biography, Drama, History            ",7.4,75        ,Joe Wright,"['Gary Oldman, ', 'Lily James, ', 'Kristin Scott Thomas, ', 'Ben Mendelsohn', '']",174215,$56.47M
Mudbound,2017),R,134," Drama, War            ",7.4,85        ,Dee Rees,"['Jason Mitchell, ', 'Carey Mulligan, ', 'Jason Clarke, ', 'Mary J. Blige', '']",43360,0
