title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The King,I) (2019),R,140," Biography, Drama, History            ",7.2,62        ,David Michôd,"['Tom Glynn-Carney, ', 'Gábor Czap, ', 'Tom Fisher, ', 'Edward Ashley', '']",91416,0
The Death of Stalin,2017),R,107," Comedy, Drama, History            ",7.2,88        ,Armando Iannucci,"['Steve Buscemi, ', 'Simon Russell Beale, ', 'Jeffrey Tambor, ', 'Andrea Riseborough', '']",88598,$8.04M
Anthropoid,2016),R,120," Action, Biography, Drama            ",7.2,0,Sean Ellis,"['Jamie Dornan, ', 'Cillian Murphy, ', 'Brian Caspe, ', 'Karel Hermánek Jr.', '']",44330,$2.96M
The Siege of Jadotville,2016),TV-MA,108," Action, Drama, History            ",7.2,0,Richie Smyth,"['Richard Lukunku, ', 'Danny Sapani, ', 'Andrew Stock, ', 'Mark Strong', '']",32942,0
Bajirao Mastani,2015),Not Rated,158," Action, Drama, History            ",7.2,0,Sanjay Leela Bhansali,"['Ranveer Singh, ', 'Deepika Padukone, ', 'Priyanka Chopra, ', 'Tanvi Azmi', '']",31534,$6.56M
Stan & Ollie,2018),PG,98," Biography, Comedy, Drama            ",7.2,75        ,Jon S. Baird,"['Steve Coogan, ', 'John C. Reilly, ', 'Shirley Henderson, ', 'Nina Arianda', '']",33329,$5.47M
The Physician,2013),R,155," Adventure, Drama, History            ",7.2,0,Philipp Stölzl,"['Tom Payne, ', 'Stellan Skarsgård, ', 'Olivier Martinez, ', 'Emma Rigby', '']",36694,0
Kon-Tiki,2012),PG-13,118," Adventure, Biography, Drama            ",7.2,62        ,"Joachim Rønning, ","['    Stars:', 'Pål Sverre Hagen, ', 'Anders Baasmo Christiansen, ', 'Gustaf Skarsgård, ', 'Odd-Magnus Williamson']",46235,$1.52M
War Horse,2011),PG-13,146," Action, Adventure, Drama            ",7.2,72        ,Steven Spielberg,"['Jeremy Irvine, ', 'Emily Watson, ', 'David Thewlis, ', 'Benedict Cumberbatch', '']",147915,$79.88M
Agora,2009),R,127," Adventure, Biography, Drama            ",7.2,0,Alejandro Amenábar,"['Rachel Weisz, ', 'Max Minghella, ', 'Oscar Isaac, ', 'Ashraf Barhom', '']",66315,$0.62M
Defiance,I) (2008),R,137," Action, Drama, History            ",7.2,0,Edward Zwick,"['Daniel Craig, ', 'Liev Schreiber, ', 'Jamie Bell, ', 'Alexa Davalos', '']",138906,$28.64M
Secretariat,2010),PG,123," Biography, Drama, Family            ",7.2,61        ,Randall Wallace,"['Diane Lane, ', 'John Malkovich, ', 'Margo Martindale, ', 'Nelsan Ellis', '']",26689,$59.71M
Che: Part One,2008),Not Rated,134," Biography, Drama, History            ",7.2,0,Steven Soderbergh,"['Julia Ormond, ', 'Benicio Del Toro, ', 'Oscar Isaac, ', 'Pablo Guevara', '']",44409,$1.73M
Silence,I) (2016),R,161," Drama, History            ",7.2,79        ,Martin Scorsese,"['Andrew Garfield, ', 'Adam Driver, ', 'Liam Neeson, ', 'Tadanobu Asano', '']",101302,$7.10M
