title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The Polar Express,2004),G,100," Animation, Adventure, Comedy            ",6.6,61        ,Robert Zemeckis,"['Tom Hanks, ', 'Chris Coppola, ', 'Michael Jeter, ', 'Leslie Zemeckis', '']",181624,$183.37M
Asterix & Obelix: Mission Cleopatra,2002),PG,107," Adventure, Comedy, Family            ",6.6,0,Alain Chabat,"['Gérard Depardieu, ', 'Christian Clavier, ', 'Jamel Debbouze, ', 'Monica Bellucci', '']",49464,$3.12M
The Gift,2000),R,111," Drama, Fantasy, Horror            ",6.6,62        ,Sam Raimi,"['Cate Blanchett, ', 'Katie Holmes, ', 'Keanu Reeves, ', 'Giovanni Ribisi', '']",64029,$12.01M
Powder,1995),PG-13,111," Drama, Fantasy, Mystery            ",6.6,0,Victor Salva,"['Mary Steenburgen, ', 'Sean Patrick Flanery, ', 'Lance Henriksen, ', 'Jeff Goldblum', '']",28558,$30.86M
Miracle on 34th Street,1994),PG,114," Family, Fantasy            ",6.6,0,Les Mayfield,"['Richard Attenborough, ', 'Elizabeth Perkins, ', 'Dylan McDermott, ', 'J.T. Walsh', '']",32977,$17.19M
Death Becomes Her,1992),PG-13,104," Comedy, Fantasy, Horror            ",6.6,0,Robert Zemeckis,"['Meryl Streep, ', 'Bruce Willis, ', 'Goldie Hawn, ', 'Isabella Rossellini', '']",104377,$58.42M
Pet Sematary,1989),R,103," Fantasy, Horror, Thriller            ",6.6,0,Mary Lambert,"['Dale Midkiff, ', 'Denise Crosby, ', 'Fred Gwynne, ', 'Brad Greenquist', '']",94899,$57.47M
Ghostbusters II,1989),PG,108," Action, Comedy, Fantasy            ",6.6,0,Ivan Reitman,"['Bill Murray, ', 'Dan Aykroyd, ', 'Sigourney Weaver, ', 'Harold Ramis', '']",184241,$112.49M
Child's Play,1988),R,87," Fantasy, Horror, Thriller            ",6.6,0,Tom Holland,"['Catherine Hicks, ', 'Chris Sarandon, ', 'Alex Vincent, ', 'Brad Dourif', '']",88247,$33.24M
The Witches of Eastwick,1987),R,118," Comedy, Fantasy, Horror            ",6.6,67        ,George Miller,"['Jack Nicholson, ', 'Cher, ', 'Susan Sarandon, ', 'Michelle Pfeiffer', '']",62876,$63.77M
A Nightmare on Elm Street 3: Dream Warriors,1987),R,96," Fantasy, Horror            ",6.6,0,Chuck Russell,"['Heather Langenkamp, ', 'Robert Englund, ', 'Craig Wasson, ', 'Patricia Arquette', '']",71467,$44.79M
It Chapter Two,2019),R,169," Drama, Fantasy, Horror            ",6.5,0,Andy Muschietti,"['Jessica Chastain, ', 'James McAvoy, ', 'Bill Hader, ', 'Isaiah Mustafa', '']",210737,$211.59M
The Endless,I) (2017),Not Rated,111," Drama, Fantasy, Horror            ",6.5,80        ,"Justin Benson, ","['    Stars:', 'Aaron Moorhead, ', 'Justin Benson, ', 'Callie Hernandez, ', 'Tate Ellington']",34934,$0.27M
Crimson Peak,2015),R,119," Drama, Fantasy, Horror            ",6.5,66        ,Guillermo del Toro,"['Mia Wasikowska, ', 'Jessica Chastain, ', 'Tom Hiddleston, ', 'Charlie Hunnam', '']",131193,$31.09M
Mowgli: Legend of the Jungle,2018),PG-13,104," Adventure, Drama, Fantasy            ",6.5,0,Andy Serkis,"['Christian Bale, ', 'Cate Blanchett, ', 'Benedict Cumberbatch, ', 'Naomie Harris', '']",56918,0
Valerian and the City of a Thousand Planets,2017),PG-13,136," Action, Adventure, Fantasy            ",6.5,0,Luc Besson,"['Dane DeHaan, ', 'Cara Delevingne, ', 'Clive Owen, ', 'Rihanna', '']",163914,$41.19M
Pirates of the Caribbean: Dead Men Tell No Tales,2017),PG-13,129," Action, Adventure, Fantasy            ",6.5,0,"Joachim Rønning, ","['    Stars:', 'Johnny Depp, ', 'Geoffrey Rush, ', 'Javier Bardem, ', 'Orlando Bloom']",267042,$172.56M
Before I Fall,2017),PG-13,98," Drama, Fantasy, Mystery            ",6.5,0,Ry Russo-Young,"['Zoey Deutch, ', 'Halston Sage, ', 'Cynthy Wu, ', 'Medalion Rahimi', '']",46789,$12.24M
Trolls,2016),PG,92," Animation, Adventure, Comedy            ",6.5,0,"Mike Mitchell, ","['    Stars:', 'Anna Kendrick, ', 'Justin Timberlake, ', 'Zooey Deschanel, ', 'Christopher Mintz-Plasse']",73039,$153.71M
Ice Age: Continental Drift,2012),PG,88," Animation, Adventure, Comedy            ",6.5,0,"Steve Martino, ","['    Stars:', 'Ray Romano, ', 'Denis Leary, ', 'John Leguizamo, ', 'Aziz Ansari']",193167,$161.32M
Byzantium,2012),R,118," Drama, Fantasy, Horror            ",6.5,66        ,Neil Jordan,"['Saoirse Ronan, ', 'Gemma Arterton, ', 'Sam Riley, ', 'Caleb Landry Jones', '']",41420,$0.08M
Horns,2013),R,120," Comedy, Crime, Drama            ",6.5,0,Alexandre Aja,"['Daniel Radcliffe, ', 'Juno Temple, ', 'Max Minghella, ', 'Joe Anderson', '']",78283,$0.16M
Evil Dead,2013),R,91," Action, Adventure, Fantasy            ",6.5,0,Fede Alvarez,"['Jane Levy, ', 'Shiloh Fernandez, ', 'Jessica Lucas, ', 'Lou Taylor Pucci', '']",157220,$54.24M
[Rec]²,2009),R,85," Action, Adventure, Fantasy            ",6.5,0,"Jaume Balagueró, ","['    Stars:', 'Jonathan D. Mellor, ', 'Manuela Velasco, ', 'Óscar Zafra, ', 'Ariel Casas']",69032,$0.03M
City of Ember,2008),PG,90," Adventure, Family, Fantasy            ",6.5,0,Gil Kenan,"['Saoirse Ronan, ', 'Toby Jones, ', 'Bill Murray, ', 'David Ryall', '']",63076,$7.87M
The Chronicles of Narnia: Prince Caspian,2008),PG,150," Action, Adventure, Family            ",6.5,62        ,Andrew Adamson,"['Ben Barnes, ', 'Skandar Keynes, ', 'Georgie Henley, ', 'William Moseley', '']",195610,$141.62M
The Crazies,2010),R,101," Adventure, Fantasy, Horror            ",6.5,0,Breck Eisner,"['Radha Mitchell, ', 'Timothy Olyphant, ', 'Danielle Panabaker, ', 'Joe Anderson', '']",112084,$39.12M
The Spiderwick Chronicles,2008),PG,96," Action, Adventure, Drama            ",6.5,62        ,Mark Waters,"['Freddie Highmore, ', 'Sarah Bolger, ', 'David Strathairn, ', 'Mary-Louise Parker', '']",88985,$71.20M
Tideland,2005),R,120," Drama, Fantasy, Horror            ",6.5,0,Terry Gilliam,"['Jeff Bridges, ', 'Jennifer Tilly, ', 'Jodelle Ferland, ', 'Janet McTeer', '']",32018,$0.07M
Day Watch,2006),R,132," Action, Fantasy, Horror            ",6.5,0,Timur Bekmambetov,"['Konstantin Khabenskiy, ', 'Mariya Poroshina, ', 'Vladimir Menshov, ', 'Galina Tyunina', '']",33394,$0.45M
Nanny McPhee,2005),PG,97," Comedy, Family, Fantasy            ",6.5,0,Kirk Jones,"['Emma Thompson, ', 'Colin Firth, ', 'Angela Lansbury, ', 'Kelly Macdonald', '']",68599,$47.14M
