title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
The Cloverfield Paradox,2018),PG-13,102," Action, Horror, Sci-Fi            ",5.5,0,Julius Onah,"['Gugu Mbatha-Raw, ', 'David Oyelowo, ', 'Daniel Brühl, ', 'John Ortiz', '']",96273,0
The Last Days on Mars,2013),R,98," Adventure, Horror, Sci-Fi            ",5.5,0,Ruairi Robinson,"['Liev Schreiber, ', 'Elias Koteas, ', 'Romola Garai, ', 'Olivia Williams', '']",35542,$0.02M
Vampire Academy,2014),PG-13,104," Action, Comedy, Drama            ",5.5,0,Mark Waters,"['Zoey Deutch, ', 'Lucy Fry, ', 'Danila Kozlovskiy, ', 'Gabriel Byrne', '']",52069,$7.79M
The Innkeepers,2011),R,101," Drama, Horror, Mystery            ",5.5,64        ,Ti West,"['Sara Paxton, ', 'Pat Healy, ', 'Kelly McGillis, ', 'Alison Bartlett', '']",33056,$0.08M
Red Riding Hood,2011),PG-13,100," Fantasy, Horror, Mystery            ",5.5,0,Catherine Hardwicke,"['Amanda Seyfried, ', 'Lukas Haas, ', 'Gary Oldman, ', 'Billy Burke', '']",108387,$37.66M
Winchester,2018),PG-13,99," Biography, Drama, Fantasy            ",5.5,0,"Michael Spierig, ","['    Stars:', 'Helen Mirren, ', 'Sarah Snook, ', ""Finn Scicluna-O'Prey, "", 'Jason Clarke']",30865,$25.09M
Friday the 13th,2009),R,97," Horror, Mystery, Thriller            ",5.5,0,Marcus Nispel,"['Jared Padalecki, ', 'Amanda Righetti, ', 'Derek Mears, ', 'Danielle Panabaker', '']",98621,$65.00M
Hostel: Part II,2007),R,94," Horror, Thriller            ",5.5,0,Eli Roth,"['Lauren German, ', 'Heather Matarazzo, ', 'Bijou Phillips, ', 'Roger Bart', '']",85786,$17.61M
All the Boys Love Mandy Lane,2006),R,90," Horror, Mystery, Thriller            ",5.5,0,Jonathan Levine,"['Amber Heard, ', 'Anson Mount, ', 'Whitney Able, ', 'Michael Welch', '']",31525,0
The Omen,2006),R,110," Action, Adventure, Fantasy            ",5.5,0,John Moore,"['Liev Schreiber, ', 'Julia Stiles, ', 'Seamus Davey-Fitzpatrick, ', 'David Thewlis', '']",56445,$54.61M
White Noise,I) (2005),PG-13,101," Drama, Horror, Mystery            ",5.5,0,Geoffrey Sax,"['Michael Keaton, ', 'Deborah Kara Unger, ', 'Ian McNeice, ', 'Chandra West', '']",47266,$56.39M
Ghost Ship,2002),R,91, Horror            ,5.5,0,Steve Beck,"['Julianna Margulies, ', 'Gabriel Byrne, ', 'Ron Eldard, ', 'Desmond Harrington', '']",94386,$30.11M
Dreamcatcher,2003),R,134," Drama, Horror, Sci-Fi            ",5.5,0,Lawrence Kasdan,"['Morgan Freeman, ', 'Thomas Jane, ', 'Jason Lee, ', 'Damian Lewis', '']",89064,$33.72M
The Lawnmower Man,1992),R,108," Horror, Sci-Fi            ",5.5,0,Brett Leonard,"['Jeff Fahey, ', 'Pierce Brosnan, ', 'Jenny Wright, ', 'Mark Bringelson', '']",34055,$32.10M
Hellraiser III: Hell on Earth,1992),R,97, Horror            ,5.5,0,Anthony Hickox,"['Terry Farrell, ', 'Doug Bradley, ', 'Kevin Bernhardt, ', 'Lawrence Mortorff', '']",27734,$12.53M
Maximum Overdrive,1986),R,98," Action, Comedy, Horror            ",5.5,0,Stephen King,"['Emilio Estevez, ', 'Pat Hingle, ', 'Laura Harrington, ', 'Yeardley Smith', '']",30378,$7.43M
A Nightmare on Elm Street 2: Freddy's Revenge,1985),R,87, Horror            ,5.5,0,Jack Sholder,"['Robert Englund, ', 'Mark Patton, ', 'Kim Myers, ', 'Robert Rusler', '']",62142,$30.00M
