title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Il Postino,1994),PG,108," Biography, Comedy, Drama            ",7.7,81        ,"Michael Radford, ","['    Stars:', 'Massimo Troisi, ', 'Philippe Noiret, ', 'Maria Grazia Cucinotta, ', 'Renato Scarpa']",33847,$21.85M
Baazigar,1993),Not Rated,175," Crime, Drama, Musical            ",7.7,0,"Abbas Alibhai Burmawalla, ","['    Stars:', 'Shah Rukh Khan, ', 'Kajol, ', 'Dalip Tahil, ', 'Rakhee Gulzar']",26060,0
The Last of the Mohicans,1992),R,112," Action, Adventure, Drama            ",7.7,76        ,Michael Mann,"['Daniel Day-Lewis, ', 'Madeleine Stowe, ', 'Russell Means, ', 'Eric Schweig', '']",152105,$75.51M
Porco Rosso,1992),PG,94," Animation, Adventure, Comedy            ",7.7,83        ,Hayao Miyazaki,"['Shûichirô Moriyama, ', 'Tokiko Katô, ', 'Bunshi Katsura Vi, ', 'Tsunehiko Kamijô', '']",78947,0
The Purple Rose of Cairo,1985),PG,82," Comedy, Fantasy, Romance            ",7.7,75        ,Woody Allen,"['Mia Farrow, ', 'Jeff Daniels, ', 'Danny Aiello, ', 'Irving Metzman', '']",47372,$10.63M
Belle de Jour,1967),R,100," Drama, Romance            ",7.7,0,Luis Buñuel,"['Catherine Deneuve, ', 'Jean Sorel, ', 'Michel Piccoli, ', 'Geneviève Page', '']",40640,$0.03M
The Birds,1963),PG-13,119," Drama, Horror, Mystery            ",7.7,90        ,Alfred Hitchcock,"['Rod Taylor, ', 'Tippi Hedren, ', 'Jessica Tandy, ', 'Suzanne Pleshette', '']",172800,$11.40M
Sabrina,1954),Passed,113," Comedy, Drama, Romance            ",7.7,72        ,Billy Wilder,"['Humphrey Bogart, ', 'Audrey Hepburn, ', 'William Holden, ', 'Walter Hampden', '']",59826,0
The Quiet Man,1952),Passed,129," Comedy, Drama, Romance            ",7.7,0,John Ford,"['John Wayne, ', ""Maureen O'Hara, "", 'Barry Fitzgerald, ', 'Ward Bond', '']",34964,$10.55M
The African Queen,1951),PG,105," Adventure, Drama, Romance            ",7.7,91        ,John Huston,"['Humphrey Bogart, ', 'Katharine Hepburn, ', 'Robert Morley, ', 'Peter Bull', '']",71924,$0.54M
Gilda,1946),Approved,110," Drama, Film-Noir, Romance            ",7.7,0,Charles Vidor,"['Rita Hayworth, ', 'Glenn Ford, ', 'George Macready, ', 'Joseph Calleia', '']",28198,0
I Lost My Body,2019),TV-MA,81," Animation, Drama, Fantasy            ",7.6,81        ,Jérémy Clapin,"['Hakim Faris, ', 'Victoire Du Bois, ', ""Patrick d'Assumçao, "", 'Alfonso Arfi', '']",27211,0
Cold War,2018),R,89," Drama, History, Music            ",7.6,90        ,Pawel Pawlikowski,"['Joanna Kulig, ', 'Tomasz Kot, ', 'Borys Szyc, ', 'Agata Kulesza', '']",49827,$4.57M
